Reported_Power_Median,Measured_Power_Median,Ratio_Median_Power,Enb_Config,Non_Enb_Config,Round,Total_Tx_Power,Negative_Power_Headroom_Percentage
-45.051,-110.945,65.89399999999999,2,1,1,-29.0,0.0
-44.792,-110.88600000000001,66.09400000000001,2,3,1,-34.0,0.0
-46.051,-112.139,66.088,2,5,1,-29.0,0.0
-44.041000000000004,-111.37200000000001,67.33100000000002,2,7,1,-31.5,0.0
-36.0,-102.111,66.111,2,8,1,-26.0,0.0
-46.031000000000006,-112.14,66.109,2,9,1,-31.5,0.0
-36.0,-101.84299999999999,65.84299999999999,2,14,1,-26.0,0.0
-46.031000000000006,-111.85,65.81899999999999,2,15,1,-37.0,0.0
-46.0,-112.12299999999999,66.12299999999999,2,17,1,-36.0,0.0
-46.0,-112.125,66.125,2,19,1,-36.0,0.0
-46.0,-111.985,65.985,2,23,1,-36.0,0.0
-45.031000000000006,-111.145,66.11399999999999,2,25,1,-36.0,0.0
-36.0,-101.95299999999999,65.95299999999999,2,26,1,-26.0,0.0
-46.062,-112.24,66.178,2,27,1,-29.0,0.0
-45.0,-110.899,65.899,2,29,1,-35.5,0.0
-46.062,-112.089,66.027,2,31,1,-28.5,0.0
-12.030999999999999,-76.937,64.906,2,1,2,0.0,0.0
-32.062,-96.823,64.761,2,2,2,-14.0,0.0
-10.041,-75.468,65.427,2,3,2,2.0,0.0
-10.041,-75.709,65.668,2,4,2,2.0,0.0
-33.031,-97.82700000000001,64.79600000000002,2,5,2,-21.0,0.0
-17.802,-82.23899999999999,64.43699999999998,2,6,2,-2.5,0.0
-10.782,-75.923,65.141,2,7,2,-1.5,0.0
-31.01,-95.75200000000001,64.742,2,8,2,-19.0,0.0
-28.031,-92.844,64.81299999999999,2,9,2,-12.0,0.0
-10.041,-77.15899999999999,67.118,2,10,2,2.0,0.0
-12.770999999999999,-79.995,67.224,2,11,2,2.0,0.0
-16.062,-81.191,65.129,2,12,2,2.0,0.0
-12.770999999999999,-79.62100000000001,66.85000000000001,2,13,2,2.0,0.0
-10.041,-76.15,66.10900000000001,2,14,2,2.0,0.0
-30.031,-94.84200000000001,64.811,2,15,2,-13.5,0.0
-16.062,-81.202,65.14,2,16,2,2.0,0.0
-18.021,-82.735,64.714,2,17,2,-12.0,0.0
-4.021,-69.425,65.404,2,18,2,2.0,0.0
-27.021,-91.823,64.80199999999999,2,19,2,-21.0,0.0
-4.021,-68.96300000000001,64.94200000000001,2,20,2,2.0,0.0
-10.01,-74.884,64.874,2,21,2,-7.0,0.0
-8.01,-72.71300000000001,64.703,2,22,2,-2.0,0.0
-8.01,-72.898,64.88799999999999,2,23,2,-5.0,0.0
-18.01,-82.79799999999999,64.78799999999998,2,24,2,-15.0,0.0
-9.021,-73.668,64.647,2,25,2,-3.0,0.0
-32.0,-96.836,64.836,2,26,2,-22.0,0.0
-27.031,-91.912,64.881,2,27,2,-13.0,0.0
-17.062,-81.792,64.73,2,28,2,0.0,0.0
-10.01,-74.89399999999999,64.88399999999999,2,29,2,-7.0,0.0
-1.01,-66.221,65.211,2,30,2,2.0,0.0
-30.031,-94.956,64.92500000000001,2,31,2,-19.0,0.0
-15.324000000000002,-81.033,65.709,2,32,2,2.0,0.0
-44.051,-110.354,66.303,2,1,3,-28.0,0.0
-31.061999999999998,-98.34100000000001,67.27900000000001,2,2,3,-13.0,0.0
-43.792,-111.46600000000001,67.674,2,3,3,-33.0,0.0
-28.051,-95.36,67.309,2,4,3,-12.0,0.0
-44.041000000000004,-111.631,67.59,2,5,3,-28.0,0.0
-28.061999999999998,-95.36399999999999,67.30199999999999,2,6,3,-10.0,0.0
-44.021,-110.28200000000001,66.26100000000001,2,7,3,-32.0,0.0
-25.01,-91.24600000000001,66.236,2,8,3,-13.0,0.0
-44.041000000000004,-111.535,67.494,2,9,3,-30.0,0.0
-25.031,-91.316,66.285,2,10,3,-11.5,0.0
-44.062,-111.605,67.543,2,11,3,-26.0,0.0
-28.061999999999998,-95.354,67.292,2,12,3,-10.0,0.0
-43.021,-110.56700000000001,67.546,2,13,3,-30.0,0.0
-25.051,-91.33200000000001,66.281,2,14,3,-8.0,0.0
-44.062,-111.602,67.54,2,15,3,-26.0,0.0
-31.061999999999998,-98.335,67.273,2,16,3,-13.0,0.0
-42.021,-109.521,67.5,2,17,3,-35.5,0.0
-28.0,-95.35600000000001,67.35600000000001,2,18,3,-18.0,0.0
-35.021,-102.36399999999999,67.34299999999999,2,19,3,-29.0,0.0
